name,salary,year,team
Baron Davis,"$10,960,000",2004,NOP
Jamal Mashburn,"$8,525,000",2004,NOP
P.J. Brown,"$8,000,000",2004,NOP
David Wesley,"$3,960,000",2004,NOP
George Lynch,"$2,800,000",2004,NOP
Darrell Armstrong,"$2,475,000",2004,NOP
Stacey Augmon,"$2,400,000",2004,NOP
Courtney Alexander,"$2,168,193",2004,NOP
Jamaal Magloire,"$1,726,771",2004,NOP
Kirk Haston,"$1,360,080",2004,NOP
Bryce Drew,"$1,300,000",2004,NOP
David West,"$1,160,160",2004,NOP
Sean Rooks,"$1,070,000",2004,NOP
Steve Smith,"$1,070,000",2004,NOP
Robert Traylor,"$825,000",2004,NOP
