name,salary,year,team
Kevin Love,"$13,668,750",2013,MIN
Andrei Kirilenko,"$9,779,349",2013,MIN
Darko Milicic,"$5,228,000",2013,MIN
Brandon Roy,"$5,100,000",2013,MIN
Derrick Williams,"$4,947,840",2013,MIN
Nikola Pekovic,"$4,837,200",2013,MIN
Jose Barea,"$4,493,500",2013,MIN
Luke Ridnour,"$4,000,000",2013,MIN
Ricky Rubio,"$3,741,120",2013,MIN
Alexey Shved,"$2,934,610",2013,MIN
Greg Stiemsma,"$2,575,000",2013,MIN
Dante Cunningham,"$2,090,000",2013,MIN
Josh Howard,"$1,229,255",2013,MIN
Louis Amundson,"$1,069,509",2013,MIN
Chase Budinger,"$885,120",2013,MIN
Malcolm Lee,"$762,195",2013,MIN
Martell Webster,"$600,000",2013,MIN
Mickael Gelabale,"$447,298",2013,MIN
Chris Johnson,"$447,298",2013,MIN
Will Conroy,"$85,439",2013,MIN
Lazar Hayward,"$80,413",2013,MIN
