name,salary,year,team
Jerry Stackhouse,"$6,375,000",2003,WAS
Loy Vaught,"$5,364,964",2003,WAS
Christian Laettner,"$5,062,500",2003,WAS
Jahidi White,"$4,903,750",2003,WAS
Larry Hughes,"$4,546,000",2003,WAS
Kwame Brown,"$3,974,760",2003,WAS
George McCloud,"$2,599,900",2003,WAS
Lorenzo Williams,"$2,068,000",2003,WAS
Tyronn Lue,"$1,870,000",2003,WAS
Etan Thomas,"$1,597,200",2003,WAS
Jared Jeffries,"$1,594,920",2003,WAS
Bryon Russell,"$1,400,000",2003,WAS
Juan Dixon,"$1,172,400",2003,WAS
Brendan Haywood,"$1,051,920",2003,WAS
Michael Jordan,"$1,030,000",2003,WAS
Charles Oakley,"$1,030,000",2003,WAS
Brian Cardinal,"$587,435",2003,WAS
Bobby Simmons,"$337,457",2003,WAS
Ratko Varda,"$124,984",2003,WAS
