name,salary,year,team
Chris Webber,"$17,600,000",2007,PHI
Samuel Dalembert,"$9,464,307",2007,PHI
Andre Miller,"$8,733,333",2007,PHI
Joe Smith,"$6,807,000",2007,PHI
Aaron McKie,"$5,570,874",2007,PHI
Kyle Korver,"$4,018,182",2007,PHI
Kevin Ollie,"$3,196,050",2007,PHI
Steven Hunter,"$3,024,000",2007,PHI
Willie Green,"$2,800,000",2007,PHI
Andre Iguodala,"$2,201,640",2007,PHI
Greg Buckner,"$1,941,333",2007,PHI
Rodney Carney,"$1,439,760",2007,PHI
Shavlik Randolph,"$1,000,000",2007,PHI
Louis Williams,"$664,209",2007,PHI
Bobby Jones,"$412,718",2007,PHI
Steven Smith,"$161,061",2007,PHI
Louis Amundson,"$105,696",2007,PHI
