name,salary,year,team
Kenyon Martin,"$14,431,816",2009,DEN
Carmelo Anthony,"$14,410,581",2009,DEN
Chauncey Billups,"$11,050,000",2009,DEN
Nene,"$9,680,000",2009,DEN
J.R. Smith,"$4,985,001",2009,DEN
Steven Hunter,"$3,862,600",2009,DEN
Antonio McDyess,"$3,000,000",2009,DEN
Johan Petro,"$1,939,893",2009,DEN
Linas Kleiza,"$1,824,493",2009,DEN
Renaldo Balkman,"$1,369,920",2009,DEN
Anthony Carter,"$1,147,533",2009,DEN
Chris Andersen,"$998,398",2009,DEN
Dahntay Jones,"$926,678",2009,DEN
Sonny Weems,"$442,114",2009,DEN
Juwan Howard,"$51,976",2009,DEN
