name,salary,year,team
Dikembe Mutombo,"$16,105,264",2003,BRK
Jason Kidd,"$9,265,000",2003,BRK
Kerry Kittles,"$8,966,667",2003,BRK
Jim McIlvaine,"$4,400,000",2003,BRK
Kenyon Martin,"$4,067,160",2003,BRK
Rodney Rogers,"$2,796,000",2003,BRK
Aaron Williams,"$2,700,000",2003,BRK
Lucious Harris,"$2,640,000",2003,BRK
Jamie Feick,"$2,600,000",2003,BRK
Chris Childs,"$1,750,000",2003,BRK
Richard Jefferson,"$1,482,840",2003,BRK
Jason Collins,"$1,147,440",2003,BRK
Brandon Armstrong,"$930,720",2003,BRK
Anthony Johnson,"$699,935",2003,BRK
Brian Scalabrine,"$512,435",2003,BRK
Tamar Slay,"$349,458",2003,BRK
