name,salary,year,team
Jason Kidd,"$21,372,000",2009,DAL
Dirk Nowitzki,"$18,077,904",2009,DAL
Erick Dampier,"$11,553,000",2009,DAL
Josh Howard,"$9,945,000",2009,DAL
Jason Terry,"$9,196,000",2009,DAL
Jerry Stackhouse,"$7,000,000",2009,DAL
Matt Carroll,"$5,050,000",2009,DAL
Didier Ilunga-Mbenga,"$1,971,941",2009,DAL
Antoine Wright,"$1,800,000",2009,DAL
Devean George,"$1,600,000",2009,DAL
Shawne Williams,"$1,572,960",2009,DAL
Jose Barea,"$1,500,000",2009,DAL
Ryan Hollins,"$972,581",2009,DAL
Keith McLeod,"$926,678",2009,DAL
Gerald Green,"$854,957",2009,DAL
Brandon Bass,"$826,269",2009,DAL
James Singleton,"$826,269",2009,DAL
