name,salary,year,team
Zydrunas Ilgauskas,"$12,375,000",2003,CLE
Tyrone Hill,"$6,600,000",2003,CLE
Nick Anderson,"$6,101,906",2003,CLE
Ricky Davis,"$4,546,000",2003,CLE
Michael Stewart,"$4,160,000",2003,CLE
Darius Miles,"$3,267,960",2003,CLE
Bimbo Coles,"$2,400,000",2003,CLE
Dajuan Wagner,"$2,298,840",2003,CLE
Chris Mihm,"$2,212,200",2003,CLE
DeSagana Diop,"$1,980,600",2003,CLE
Jumaine Jones,"$1,419,026",2003,CLE
J.R. Reid,"$800,000",2003,CLE
Milt Palacio,"$750,000",2003,CLE
Carlos Boozer,"$349,458",2003,CLE
Smush Parker,"$349,458",2003,CLE
