name,salary,year,team
Corey Maggette,"$10,262,069",2012,CHO
Boris Diaw,"$9,000,000",2012,CHO
Tyrus Thomas,"$7,305,765",2012,CHO
DeSagana Diop,"$6,925,400",2012,CHO
Matt Carroll,"$3,900,000",2012,CHO
D.J. Augustin,"$3,236,470",2012,CHO
Bismack Biyombo,"$2,798,040",2012,CHO
Eduardo Najera,"$2,750,000",2012,CHO
Reggie Williams,"$2,500,000",2012,CHO
Kemba Walker,"$2,356,320",2012,CHO
Gerald Henderson,"$2,250,600",2012,CHO
D.J. White,"$2,001,167",2012,CHO
Byron Mullens,"$1,288,200",2012,CHO
Derrick Brown,"$854,389",2012,CHO
Cory Higgins,"$473,604",2012,CHO
