name,salary,year,team
Shaquille O'Neal,"$21,428,572",2002,LAL
Kobe Bryant,"$11,250,000",2002,LAL
Robert Horry,"$5,300,000",2002,LAL
Rick Fox,"$3,791,250",2002,LAL
Lindsey Hunter,"$3,425,760",2002,LAL
Derek Fisher,"$3,000,000",2002,LAL
Samaki Walker,"$1,400,000",2002,LAL
Mitch Richmond,"$1,000,000",2002,LAL
Brian Shaw,"$963,415",2002,LAL
Devean George,"$834,250",2002,LAL
Mark Madsen,"$759,960",2002,LAL
Jelani McCoy,"$565,850",2002,LAL
Stanislav Medvedenko,"$465,850",2002,LAL
Joe Crispin,"$48,705",2002,LAL
Mike Penberthy,"$28,405",2002,LAL
