name,salary,year,team
Kobe Bryant,"$25,244,493",2012,LAL
Pau Gasol,"$18,714,150",2012,LAL
Andrew Bynum,"$14,900,000",2012,LAL
Metta World Peace,"$6,790,640",2012,LAL
Luke Walton,"$5,680,000",2012,LAL
Steve Blake,"$4,000,000",2012,LAL
Derek Fisher,"$3,400,000",2012,LAL
Josh McRoberts,"$3,000,000",2012,LAL
Matt Barnes,"$1,906,200",2012,LAL
Troy Murphy,"$1,352,181",2012,LAL
Jason Kapono,"$1,223,166",2012,LAL
Devin Ebanks,"$762,195",2012,LAL
Andrew Goudelock,"$473,604",2012,LAL
Darius Morris,"$473,604",2012,LAL
Derrick Caracter,"$270,427",2012,LAL
Gerald Green,"$73,818",2012,LAL
