name,salary,year,team
Grant Hill,"$15,694,250",2006,ORL
Steve Francis,"$13,700,000",2006,ORL
Kelvin Cato,"$8,640,000",2006,ORL
Doug Christie,"$8,200,000",2006,ORL
Hedo Turkoglu,"$5,393,300",2006,ORL
Tony Battie,"$5,200,000",2006,ORL
Dwight Howard,"$4,493,160",2006,ORL
Pat Garrity,"$3,231,250",2006,ORL
Keyon Dooling,"$3,100,000",2006,ORL
DeShawn Stevenson,"$2,750,000",2006,ORL
Jameer Nelson,"$1,189,200",2006,ORL
Stacey Augmon,"$1,138,500",2006,ORL
Bo Outlaw,"$1,138,500",2006,ORL
Terence Morris,"$835,810",2006,ORL
Mario Kasun,"$682,050",2006,ORL
Travis Diener,"$398,762",2006,ORL
