name,salary,year,team
Dirk Nowitzki,"$22,721,381",2014,DAL
Shawn Marion,"$9,316,796",2014,DAL
Monta Ellis,"$8,000,000",2014,DAL
Jose Calderon,"$6,791,570",2014,DAL
Brandan Wright,"$5,000,000",2014,DAL
Samuel Dalembert,"$3,700,748",2014,DAL
Vince Carter,"$3,180,000",2014,DAL
Wayne Ellington,"$2,652,000",2014,DAL
Shane Larkin,"$1,536,960",2014,DAL
Devin Harris,"$1,272,279",2014,DAL
DeJuan Blair,"$947,907",2014,DAL
Jae Crowder,"$788,872",2014,DAL
Bernard James,"$788,872",2014,DAL
Fab Melo,"$788,872",2014,DAL
