name,salary,year,team
Eddie Jones,"$14,863,778",2007,MEM
Pau Gasol,"$12,364,000",2007,MEM
Mike Miller,"$7,623,813",2007,MEM
Brian Cardinal,"$5,400,000",2007,MEM
Stromile Swift,"$5,400,000",2007,MEM
Damon Stoudamire,"$4,050,000",2007,MEM
Chucky Atkins,"$3,000,000",2007,MEM
Rudy Gay,"$2,242,290",2007,MEM
Dahntay Jones,"$1,886,113",2007,MEM
Hakim Warrick,"$1,286,280",2007,MEM
Kyle Lowry,"$1,011,720",2007,MEM
Scott Padgett,"$932,015",2007,MEM
Lawrence Roberts,"$664,209",2007,MEM
Alexander Johnson,"$412,718",2007,MEM
Tarence Kinsey,"$412,718",2007,MEM
Junior Harrington,"$390,556",2007,MEM
Will Conroy,"$20,279",2007,MEM
