name,salary,year,team
Tim Duncan,"$12,676,125",2004,SAS
Ron Mercer,"$6,750,000",2004,SAS
Rasho Nesterovic,"$5,600,000",2004,SAS
Malik Rose,"$4,916,250",2004,SAS
Robert Horry,"$4,500,000",2004,SAS
Bruce Bowen,"$3,650,000",2004,SAS
Hedo Turkoglu,"$1,995,611",2004,SAS
Manu Ginobili,"$1,457,500",2004,SAS
Kevin Willis,"$1,070,000",2004,SAS
Tony Parker,"$856,200",2004,SAS
Anthony Carter,"$751,179",2004,SAS
Jason Hart,"$638,679",2004,SAS
Sean Marks,"$596,295",2004,SAS
Devin Brown,"$563,679",2004,SAS
Alex Garcia,"$366,931",2004,SAS
Shane Heal,"$75,615",2004,SAS
