name,salary,year,team
Chris Paul,"$21,468,696",2016,LAC
DeAndre Jordan,"$19,500,000",2016,LAC
Blake Griffin,"$18,907,725",2016,LAC
Jeff Green,"$9,200,000",2016,LAC
J.J. Redick,"$6,867,000",2016,LAC
Jamal Crawford,"$5,675,000",2016,LAC
Paul Pierce,"$3,400,000",2016,LAC
Austin Rivers,"$3,100,000",2016,LAC
Luc Mbah a Moute,"$1,270,964",2016,LAC
C.J. Wilcox,"$1,159,680",2016,LAC
Wesley Johnson,"$1,100,600",2016,LAC
Cole Aldrich,"$1,100,600",2016,LAC
Pablo Prigioni,"$981,348",2016,LAC
Carlos Delfino,"$650,000",2016,LAC
Branden Dawson,"$525,093",2016,LAC
Jeff Ayres,"$317,232",2016,LAC
Miroslav Raduljica,"$300,000",2016,LAC
Alex Stepheson,"$61,776",2016,LAC
