name,salary,year,team
Jrue Holiday,"$25,686,667",2018,NOP
Anthony Davis,"$23,775,506",2018,NOP
DeMarcus Cousins,"$18,063,850",2018,NOP
Solomon Hill,"$12,236,535",2018,NOP
Omer Asik,"$10,595,505",2018,NOP
E'Twaun Moore,"$8,445,024",2018,NOP
Alexis Ajinca,"$4,961,798",2018,NOP
Rajon Rondo,"$3,300,000",2018,NOP
Dante Cunningham,"$2,300,000",2018,NOP
Tony Allen,"$2,116,955",2018,NOP
Darius Miller,"$2,100,000",2018,NOP
Ian Clark,"$1,577,230",2018,NOP
Cheick Diallo,"$1,312,611",2018,NOP
Frank Jackson,"$815,615",2018,NOP
Jordan Crawford,"$250,000",2018,NOP
Axel Toupane,"$25,000",2018,NOP
Quinn Cook,"$25,000",2018,NOP
