name,salary,year,team
Carlos Boozer,"$13,500,000",2012,CHI
Luol Deng,"$12,325,000",2012,CHI
Joakim Noah,"$12,000,000",2012,CHI
Derrick Rose,"$6,993,708",2012,CHI
Richard Hamilton,"$5,000,000",2012,CHI
Kyle Korver,"$5,000,000",2012,CHI
Ronnie Brewer,"$4,710,000",2012,CHI
C.J. Watson,"$3,400,000",2012,CHI
Omer Asik,"$1,857,500",2012,CHI
Brian Scalabrine,"$1,352,181",2012,CHI
Taj Gibson,"$1,195,680",2012,CHI
Jimmy Butler,"$1,020,960",2012,CHI
John Lucas,"$915,852",2012,CHI
Mike James,"$277,566",2012,CHI
