name,salary,year,team
Dwight Howard,"$23,500,000",2018,CHO
Nicolas Batum,"$22,434,783",2018,CHO
Marvin Williams,"$13,168,750",2018,CHO
Michael Kidd-Gilchrist,"$13,000,000",2018,CHO
Cody Zeller,"$12,584,270",2018,CHO
Kemba Walker,"$12,000,000",2018,CHO
Jeremy Lamb,"$7,000,000",2018,CHO
Malik Monk,"$2,904,480",2018,CHO
Frank Kaminsky,"$2,847,600",2018,CHO
Michael Carter-Williams,"$2,700,000",2018,CHO
Johnny O'Bryant,"$1,524,305",2018,CHO
Julyan Stone,"$1,524,305",2018,CHO
Treveon Graham,"$1,312,611",2018,CHO
Dwayne Bacon,"$815,615",2018,CHO
