name,salary,year,team
Clifford Robinson,"$8,421,875",2003,DET
Ben Wallace,"$5,200,000",2003,DET
Chauncey Billups,"$4,546,000",2003,DET
Corliss Williamson,"$4,500,000",2003,DET
Zeljko Rebraca,"$3,850,000",2003,DET
Chucky Atkins,"$3,600,000",2003,DET
Jon Barry,"$3,175,000",2003,DET
Hubert Davis,"$2,687,500",2003,DET
Richard Hamilton,"$2,681,783",2003,DET
Michael Curry,"$2,600,000",2003,DET
Mikki Moore,"$2,412,500",2003,DET
Don Reid,"$1,100,000",2003,DET
Mehmet Okur,"$1,000,000",2003,DET
Tayshaun Prince,"$903,360",2003,DET
Pepe Sanchez,"$587,435",2003,DET
Bobby Simmons,"$512,435",2003,DET
