name,salary,year,team
Hakeem Olajuwon,"$16,700,000",2001,HOU
Kelvin Cato,"$5,330,000",2001,HOU
Walt Williams,"$4,250,000",2001,HOU
Cuttino Mobley,"$3,920,000",2001,HOU
Steve Francis,"$3,246,960",2001,HOU
Don MacLean,"$2,380,000",2001,HOU
Maurice Taylor,"$2,250,000",2001,HOU
Carlos Rogers,"$2,200,000",2001,HOU
Shandon Anderson,"$2,200,000",2001,HOU
Matt Bullard,"$2,100,000",2001,HOU
Matt Maloney,"$1,790,000",2001,HOU
Jason Collier,"$1,190,760",2001,HOU
Kenny Thomas,"$885,120",2001,HOU
Moochie Norris,"$523,500",2001,HOU
Dan Langhi,"$316,969",2001,HOU
