name,salary,year,team
Elton Brand,"$17,059,727",2012,PHI
Andre Iguodala,"$13,531,750",2012,PHI
Thaddeus Young,"$7,478,261",2012,PHI
Andres Nocioni,"$6,650,000",2012,PHI
Louis Williams,"$5,176,000",2012,PHI
Evan Turner,"$4,947,840",2012,PHI
Spencer Hawes,"$4,051,024",2012,PHI
Jrue Holiday,"$1,741,440",2012,PHI
Nikola Vucevic,"$1,645,400",2012,PHI
Craig Brackins,"$1,404,960",2012,PHI
Tony Battie,"$1,352,181",2012,PHI
Jodie Meeks,"$854,389",2012,PHI
Lavoy Allen,"$473,604",2012,PHI
Francisco Elson,"$305,792",2012,PHI
