name,salary,year,team
Joe Johnson,"$12,744,189",2007,ATL
Speedy Claxton,"$6,854,546",2007,ATL
Marvin Williams,"$4,174,800",2007,ATL
Zaza Pachulia,"$4,000,000",2007,ATL
Tyronn Lue,"$3,500,000",2007,ATL
Lorenzen Wright,"$3,250,000",2007,ATL
Shelden Williams,"$2,952,840",2007,ATL
Josh Childress,"$2,863,920",2007,ATL
Anthony Johnson,"$2,640,000",2007,ATL
Josh Smith,"$1,460,640",2007,ATL
Royal Ivey,"$744,551",2007,ATL
Salim Stoudamire,"$729,000",2007,ATL
Solomon Jones,"$675,000",2007,ATL
Esteban Batista,"$664,209",2007,ATL
Stanislav Medvedenko,"$625,132",2007,ATL
Cedric Bozeman,"$412,718",2007,ATL
Matt Freije,"$145,961",2007,ATL
Dijon Thompson,"$89,101",2007,ATL
Jeremy Richardson,"$55,365",2007,ATL
