name,salary,year,team
Reggie Miller,"$12,046,473",2003,IND
Austin Croshere,"$6,960,000",2003,IND
Jermaine O'Neal,"$6,900,000",2003,IND
Ron Mercer,"$6,750,000",2003,IND
Al Harrington,"$5,060,000",2003,IND
Brad Miller,"$4,800,000",2003,IND
Jonathan Bender,"$3,226,745",2003,IND
Metta World Peace,"$1,904,860",2003,IND
Jeff Foster,"$1,571,335",2003,IND
Fred Jones,"$1,367,400",2003,IND
Primoz Brezec,"$805,320",2003,IND
Jamaal Tinsley,"$805,320",2003,IND
Erick Strickland,"$762,435",2003,IND
Jamison Brewer,"$512,435",2003,IND
