name,salary,year,team
Gordon Hayward,"$15,409,570",2016,UTA
Derrick Favors,"$11,933,333",2016,UTA
Alec Burks,"$9,213,484",2016,UTA
Trevor Booker,"$4,775,000",2016,UTA
Dante Exum,"$3,777,720",2016,UTA
Tibor Pleiss,"$3,000,000",2016,UTA
Trey Burke,"$2,658,240",2016,UTA
Shelvin Mack,"$2,433,333",2016,UTA
Joe Ingles,"$2,250,000",2016,UTA
Trey Lyles,"$2,239,800",2016,UTA
Rodney Hood,"$1,348,440",2016,UTA
Rudy Gobert,"$1,175,880",2016,UTA
Raul Neto,"$1,000,000",2016,UTA
Chris Johnson,"$981,348",2016,UTA
Jeff Withey,"$947,276",2016,UTA
Grant Jerrett,"$947,276",2016,UTA
Elijah Millsap,"$362,878",2016,UTA
J.J. O'Brien,"$105,888",2016,UTA
Erick Green,"$99,418",2016,UTA
Treveon Graham,"$75,000",2016,UTA
E.J. Singler,"$50,000",2016,UTA
