name,salary,year,team
Shaquille O'Neal,"$20,000,000",2007,MIA
Jason Williams,"$8,250,000",2007,MIA
Antoine Walker,"$7,606,820",2007,MIA
James Posey,"$6,392,100",2007,MIA
Udonis Haslem,"$5,525,000",2007,MIA
Dwyane Wade,"$3,841,443",2007,MIA
Michael Doleac,"$2,880,000",2007,MIA
Alonzo Mourning,"$2,500,000",2007,MIA
Dorell Wright,"$1,325,160",2007,MIA
Jason Kapono,"$1,188,000",2007,MIA
Gary Payton,"$1,178,348",2007,MIA
Wayne Simien,"$932,760",2007,MIA
Earl Barron,"$744,551",2007,MIA
Eddie Jones,"$531,694",2007,MIA
Robert Hite,"$412,718",2007,MIA
Chris Quinn,"$412,718",2007,MIA
Derek Anderson,"$400,000",2007,MIA
Mike Gansey,"$150,000",2007,MIA
Daniel Horton,"$75,000",2007,MIA
Vincent Grier,"$70,000",2007,MIA
