name,salary,year,team
George Hill,"$20,000,000",2018,SAC
Zach Randolph,"$12,307,692",2018,SAC
Bogdan Bogdanovic,"$9,470,614",2018,SAC
Kosta Koufos,"$8,393,000",2018,SAC
Garrett Temple,"$8,000,000",2018,SAC
Vince Carter,"$8,000,000",2018,SAC
De'Aaron Fox,"$4,609,200",2018,SAC
Willie Cauley-Stein,"$3,704,160",2018,SAC
Buddy Hield,"$3,675,480",2018,SAC
Justin Jackson,"$2,365,560",2018,SAC
Georgios Papagiannis,"$2,301,360",2018,SAC
Matt Barnes,"$2,133,542",2018,SAC
Anthony Tolliver,"$2,000,000",2018,SAC
Harry Giles,"$1,859,400",2018,SAC
Malachi Richardson,"$1,504,560",2018,SAC
Arron Afflalo,"$1,500,000",2018,SAC
Skal Labissiere,"$1,312,611",2018,SAC
Frank Mason,"$1,184,385",2018,SAC
Caron Butler,"$517,220",2018,SAC
