name,salary,year,team
Ray Allen,"$10,130,000",2001,MIL
Tim Thomas,"$8,510,000",2001,MIL
Glenn Robinson,"$8,120,000",2001,MIL
Danny Manning,"$6,830,000",2001,MIL
Jason Caffey,"$4,380,000",2001,MIL
Scott Williams,"$4,200,000",2001,MIL
Sam Cassell,"$4,000,000",2001,MIL
Ervin Johnson,"$2,700,000",2001,MIL
Lindsey Hunter,"$2,650,000",2001,MIL
Darvin Ham,"$1,700,000",2001,MIL
Joel Przybilla,"$1,619,880",2001,MIL
Jerome Kersey,"$1,000,000",2001,MIL
Mark Pope,"$498,500",2001,MIL
Rafer Alston,"$423,500",2001,MIL
Maceo Baston,"$423,500",2001,MIL
Jason Hart,"$316,969",2001,MIL
Michael Redd,"$316,969",2001,MIL
