name,salary,year,team
Ray Allen,"$14,611,570",2007,OKC
Rashard Lewis,"$9,350,649",2007,OKC
Danny Fortson,"$6,596,990",2007,OKC
Chris Wilcox,"$6,250,000",2007,OKC
Earl Watson,"$5,400,000",2007,OKC
Damien Wilkins,"$2,700,000",2007,OKC
Nick Collison,"$2,501,070",2007,OKC
Luke Ridnour,"$2,425,878",2007,OKC
Mouhamed Sene,"$1,958,640",2007,OKC
Robert Swift,"$1,887,600",2007,OKC
Johan Petro,"$1,006,800",2007,OKC
Mickael Gelabale,"$802,000",2007,OKC
Mike Wilks,"$798,112",2007,OKC
Desmon Farmer,"$275,404",2007,OKC
Andre Brown,"$241,591",2007,OKC
Andreas Glyniadakis,"$161,061",2007,OKC
Kareem Rush,"$19,466",2007,OKC
