name,salary,year,team
Chris Webber,"$15,937,500",2004,SAC
Vlade Divac,"$12,051,510",2004,SAC
Mike Bibby,"$9,500,000",2004,SAC
Brad Miller,"$7,000,000",2004,SAC
Doug Christie,"$6,900,000",2004,SAC
Peja Stojakovic,"$6,250,000",2004,SAC
Lawrence Funderburke,"$3,600,000",2004,SAC
Bobby Jackson,"$2,925,000",2004,SAC
Tony Massenburg,"$1,070,000",2004,SAC
Anthony Peeler,"$1,070,000",2004,SAC
Gerald Wallace,"$917,520",2004,SAC
Jabari Smith,"$638,679",2004,SAC
Darius Songaila,"$366,931",2004,SAC
Rodney Buford,"$145,686",2004,SAC
