name,salary,year,team
Jalen Rose,"$12,072,500",2003,CHI
Eddie Robinson,"$5,687,000",2003,CHI
Donyell Marshall,"$4,186,542",2003,CHI
Tyson Chandler,"$3,556,200",2003,CHI
Jay Williams,"$3,451,920",2003,CHI
Marcus Fizer,"$2,946,240",2003,CHI
Eddy Curry,"$2,879,280",2003,CHI
Jamal Crawford,"$2,026,680",2003,CHI
Greg Anthony,"$1,500,000",2003,CHI
Corie Blount,"$1,400,000",2003,CHI
Fred Hoiberg,"$1,400,000",2003,CHI
Dalibor Bagaric,"$830,947",2003,CHI
Rick Brunson,"$699,935",2003,CHI
Erick Barkley,"$682,500",2003,CHI
Trenton Hassell,"$512,435",2003,CHI
Lonny Baxter,"$349,458",2003,CHI
Roger Mason,"$349,458",2003,CHI
