name,salary,year,team
Richard Hamilton,"$6,500,000",2004,DET
Bob Sura,"$6,266,666",2004,DET
Ben Wallace,"$5,500,000",2004,DET
Chauncey Billups,"$5,000,600",2004,DET
Corliss Williamson,"$5,000,000",2004,DET
Zeljko Rebraca,"$4,200,000",2004,DET
Elden Campbell,"$4,000,000",2004,DET
Chucky Atkins,"$3,900,000",2004,DET
Darko Milicic,"$3,595,800",2004,DET
Lindsey Hunter,"$3,000,000",2004,DET
Hubert Davis,"$2,956,250",2004,DET
Mehmet Okur,"$1,100,000",2004,DET
Tayshaun Prince,"$971,160",2004,DET
Darvin Ham,"$813,679",2004,DET
Tremaine Fowlkes,"$638,679",2004,DET
