name,salary,year,team
Grant Hill,"$13,279,750",2004,ORL
Tracy McGrady,"$13,279,750",2004,ORL
Juwan Howard,"$4,917,000",2004,ORL
Drew Gooden,"$3,004,560",2004,ORL
Pat Garrity,"$2,643,750",2004,ORL
Andrew DeClercq,"$2,500,000",2004,ORL
Gordan Giricek,"$1,540,000",2004,ORL
Tyronn Lue,"$1,500,000",2004,ORL
Steven Hunter,"$1,431,600",2004,ORL
Reece Gaines,"$1,353,120",2004,ORL
Jeryl Sasser,"$1,125,729",2004,ORL
Monty Williams,"$1,000,000",2004,ORL
Rod Strickland,"$887,317",2004,ORL
Shammond Williams,"$751,179",2004,ORL
Robert Archibald,"$563,679",2004,ORL
Keith Bogans,"$366,931",2004,ORL
Zaza Pachulia,"$366,931",2004,ORL
Britton Johnsen,"$44,748",2004,ORL
Derrick Dial,"$32,375",2004,ORL
