name,salary,year,team
Allan Houston,"$15,937,500",2004,NYK
Antonio McDyess,"$13,500,000",2004,NYK
Keith Van Horn,"$13,279,750",2004,NYK
Shandon Anderson,"$6,700,000",2004,NYK
Charlie Ward,"$6,030,000",2004,NYK
Howard Eisley,"$5,843,750",2004,NYK
Kurt Thomas,"$5,394,125",2004,NYK
Travis Knight,"$4,402,500",2004,NYK
Dikembe Mutombo,"$4,087,667",2004,NYK
Moochie Norris,"$3,500,000",2004,NYK
Othella Harrington,"$2,925,000",2004,NYK
John Amaechi,"$2,610,000",2004,NYK
Mike Sweetney,"$1,840,800",2004,NYK
Michael Doleac,"$1,540,000",2004,NYK
Frank Williams,"$894,960",2004,NYK
Maciej Lampe,"$829,000",2004,NYK
Slavko Vranes,"$129,768",2004,NYK
