name,salary,year,team
Troy Murphy,"$11,968,253",2011,GSW
Monta Ellis,"$11,000,000",2011,GSW
David Lee,"$10,800,000",2011,GSW
Andris Biedrins,"$9,000,000",2011,GSW
Vladimir Radmanovic,"$6,883,800",2011,GSW
Charlie Bell,"$4,447,792",2011,GSW
Dorell Wright,"$3,500,000",2011,GSW
Ekpe Udoh,"$3,065,040",2011,GSW
Stephen Curry,"$2,913,840",2011,GSW
Louis Amundson,"$2,225,000",2011,GSW
Reggie Williams,"$762,195",2011,GSW
Acie Law,"$656,030",2011,GSW
Jeremy Lin,"$473,604",2011,GSW
Rodney Carney,"$377,116",2011,GSW
Jeff Adrien,"$342,666",2011,GSW
