name,salary,year,team
Shawn Marion,"$15,070,000",2007,PHO
Amar'e Stoudemire,"$12,455,000",2007,PHO
Steve Nash,"$10,500,000",2007,PHO
Kurt Thomas,"$7,821,482",2007,PHO
Raja Bell,"$4,500,000",2007,PHO
Marcus Banks,"$3,672,414",2007,PHO
James Jones,"$2,650,000",2007,PHO
Boris Diaw,"$1,870,501",2007,PHO
Leandro Barbosa,"$1,679,733",2007,PHO
Jalen Rose,"$1,540,000",2007,PHO
Eric Piatkowski,"$1,178,348",2007,PHO
Jumaine Jones,"$998,967",2007,PHO
Sean Marks,"$932,015",2007,PHO
Pat Burke,"$810,000",2007,PHO
Howard Eisley,"$162,660",2007,PHO
