name,salary,year,team
Tim Thomas,"$11,825,000",2004,MIL
Toni Kukoc,"$9,056,250",2004,MIL
Jason Caffey,"$5,687,500",2004,MIL
Joe Smith,"$5,445,600",2004,MIL
Anthony Mason,"$4,348,094",2004,MIL
Michael Redd,"$3,000,000",2004,MIL
Joel Przybilla,"$2,373,309",2004,MIL
T.J. Ford,"$2,002,680",2004,MIL
Desmond Mason,"$1,898,312",2004,MIL
Marcus Haislip,"$1,547,280",2004,MIL
Brian Skinner,"$1,500,000",2004,MIL
Erick Strickland,"$1,500,000",2004,MIL
Daniel Santiago,"$1,200,000",2004,MIL
Damon Jones,"$751,179",2004,MIL
Dan Gadzuric,"$563,679",2004,MIL
Dan Langhi,"$530,943",2004,MIL
