name,salary,year,team
Theo Ratliff,"$11,666,666",2006,POR
Zach Randolph,"$10,666,667",2006,POR
Derek Anderson,"$9,093,000",2006,POR
Darius Miles,"$7,250,000",2006,POR
Ruben Patterson,"$6,353,200",2006,POR
Martell Webster,"$2,586,120",2006,POR
Juan Dixon,"$2,500,000",2006,POR
Sebastian Telfair,"$1,676,280",2006,POR
Joel Przybilla,"$1,560,000",2006,POR
Viktor Khryapa,"$1,095,960",2006,POR
Travis Outlaw,"$1,082,160",2006,POR
Jarrett Jack,"$1,058,640",2006,POR
Sergei Monia,"$1,016,400",2006,POR
Steve Blake,"$1,000,000",2006,POR
Charles Smith,"$771,123",2006,POR
Ha Seung-Jin,"$641,748",2006,POR
