name,salary,year,team
Mike Conley,"$28,530,608",2018,MEM
Chandler Parsons,"$23,112,004",2018,MEM
Marc Gasol,"$22,642,350",2018,MEM
JaMychal Green,"$8,533,333",2018,MEM
Brandan Wright,"$5,955,760",2018,MEM
Ben McLemore,"$5,200,000",2018,MEM
Tyreke Evans,"$3,290,000",2018,MEM
James Ennis,"$3,028,410",2018,MEM
Mario Chalmers,"$2,106,407",2018,MEM
Wade Baldwin,"$1,874,400",2018,MEM
Jarell Martin,"$1,471,382",2018,MEM
Deyonta Davis,"$1,312,611",2018,MEM
Wayne Selden,"$1,312,611",2018,MEM
Andrew Harrison,"$1,312,611",2018,MEM
Rade Zagorac,"$950,000",2018,MEM
Dillon Brooks,"$815,615",2018,MEM
