name,salary,year,team
Michael Olowokandi,"$3,697,440",2001,LAC
Derek Strong,"$3,510,000",2001,LAC
Darius Miles,"$2,841,720",2001,LAC
Lamar Odom,"$2,628,960",2001,LAC
Eric Piatkowski,"$2,200,000",2001,LAC
Sean Rooks,"$2,160,000",2001,LAC
Cherokee Parks,"$2,100,000",2001,LAC
Keith Closs,"$1,920,000",2001,LAC
James Robinson,"$1,870,000",2001,LAC
Keyon Dooling,"$1,538,880",2001,LAC
Corey Maggette,"$1,353,960",2001,LAC
Quentin Richardson,"$1,020,960",2001,LAC
Brian Skinner,"$901,800",2001,LAC
Etdrick Bohannon,"$523,500",2001,LAC
Jeff McInnis,"$523,500",2001,LAC
Earl Boykins,"$498,500",2001,LAC
Zendon Hamilton,"$316,969",2001,LAC
