name,salary,year,team
Erick Dampier,"$5,610,000",2001,GSW
Mookie Blaylock,"$4,800,000",2001,GSW
Chris Mills,"$4,800,000",2001,GSW
Bob Sura,"$4,390,000",2001,GSW
Danny Fortson,"$3,950,000",2001,GSW
Adonal Foyle,"$3,580,000",2001,GSW
Adam Keefe,"$3,390,000",2001,GSW
Antawn Jamison,"$2,678,400",2001,GSW
Terry Cummings,"$2,200,000",2001,GSW
Vinny Del Negro,"$2,100,000",2001,GSW
Larry Hughes,"$1,842,480",2001,GSW
Chris Mullin,"$1,000,000",2001,GSW
Vonteego Cummings,"$757,200",2001,GSW
Bill Curley,"$611,000",2001,GSW
Marc Jackson,"$316,969",2001,GSW
Chris Porter,"$316,969",2001,GSW
Randy Livingston,"$20,000",2001,GSW
