name,salary,year,team
Tony Parker,"$12,500,000",2015,SAS
Tim Duncan,"$10,000,000",2015,SAS
Tiago Splitter,"$9,250,000",2015,SAS
Boris Diaw,"$7,500,000",2015,SAS
Manu Ginobili,"$7,000,000",2015,SAS
Danny Green,"$4,025,000",2015,SAS
Patrick Mills,"$3,842,105",2015,SAS
Kawhi Leonard,"$2,894,059",2015,SAS
Marco Belinelli,"$2,873,750",2015,SAS
Aron Baynes,"$2,077,000",2015,SAS
Cory Joseph,"$2,023,261",2015,SAS
Jeff Ayres,"$1,828,750",2015,SAS
Matt Bonner,"$1,448,490",2015,SAS
Kyle Anderson,"$1,093,680",2015,SAS
Austin Daye,"$1,063,384",2015,SAS
Reggie Williams,"$125,104",2015,SAS
Bryce Cotton,"$50,000",2015,SAS
Josh Davis,"$20,000",2015,SAS
