name,salary,year,team
Chris Bosh,"$15,779,912",2010,TOR
Hedo Turkoglu,"$9,000,000",2010,TOR
Jose Calderon,"$8,219,009",2010,TOR
Andrea Bargnani,"$6,527,491",2010,TOR
Reggie Evans,"$4,960,000",2010,TOR
Marcus Banks,"$4,553,793",2010,TOR
Jarrett Jack,"$4,500,000",2010,TOR
Amir Johnson,"$3,666,666",2010,TOR
DeMar DeRozan,"$2,282,640",2010,TOR
Antoine Wright,"$2,110,550",2010,TOR
Rasho Nesterovic,"$1,990,000",2010,TOR
Patrick O'Bryant,"$1,620,000",2010,TOR
Marco Belinelli,"$1,547,640",2010,TOR
Sonny Weems,"$736,420",2010,TOR
Pops Mensah-Bonsu,"$242,793",2010,TOR
Quincy Douby,"$85,519",2010,TOR
