name,salary,year,team
Shaquille O'Neal,"$24,749,999",2004,LAL
Kobe Bryant,"$13,500,000",2004,LAL
Gary Payton,"$4,917,000",2004,LAL
Rick Fox,"$4,734,797",2004,LAL
Devean George,"$4,546,000",2004,LAL
Derek Fisher,"$3,000,000",2004,LAL
Stanislav Medvedenko,"$1,540,000",2004,LAL
Karl Malone,"$1,500,000",2004,LAL
Kareem Rush,"$1,097,640",2004,LAL
Horace Grant,"$1,070,000",2004,LAL
Bryon Russell,"$1,070,000",2004,LAL
Brian Cook,"$903,360",2004,LAL
Jannero Pargo,"$563,679",2004,LAL
Jamal Sampson,"$563,679",2004,LAL
Luke Walton,"$366,931",2004,LAL
