name,salary,year,team
Karl Malone,"$19,250,000",2003,UTA
John Stockton,"$7,875,000",2003,UTA
Greg Ostertag,"$7,799,996",2003,UTA
Matt Harpring,"$4,000,000",2003,UTA
John Amaechi,"$2,392,500",2003,UTA
Jarron Collins,"$1,150,000",2003,UTA
Curtis Borchardt,"$1,113,720",2003,UTA
Mark Jackson,"$1,030,000",2003,UTA
Donyell Marshall,"$1,000,000",2003,UTA
Calbert Cheaney,"$1,000,000",2003,UTA
DeShawn Stevenson,"$952,320",2003,UTA
Andrei Kirilenko,"$893,400",2003,UTA
Tony Massenburg,"$741,098",2003,UTA
Scott Padgett,"$612,435",2003,UTA
Raul Lopez,"$578,160",2003,UTA
Carlos Arroyo,"$546,000",2003,UTA
