name,salary,year,team
Vince Carter,"$13,320,000",2008,BRK
Richard Jefferson,"$12,200,000",2008,BRK
Stromile Swift,"$5,800,000",2008,BRK
Trenton Hassell,"$4,350,000",2008,BRK
Keith Van Horn,"$4,300,000",2008,BRK
Jamaal Magloire,"$4,000,000",2008,BRK
Devin Harris,"$3,995,003",2008,BRK
Bostjan Nachbar,"$2,500,000",2008,BRK
DeSagana Diop,"$2,146,000",2008,BRK
Nenad Krstic,"$1,889,760",2008,BRK
Sean Williams,"$1,416,600",2008,BRK
Darrell Armstrong,"$1,219,590",2008,BRK
Marcus Williams,"$1,180,200",2008,BRK
Josh Boone,"$1,133,040",2008,BRK
Maurice Ager,"$974,400",2008,BRK
Billy Thomas,"$510,529",2008,BRK
Clifford Robinson,"$500,000",2008,BRK
David Wesley,"$250,000",2008,BRK
Eddie Gill,"$151,089",2008,BRK
