name,salary,year,team
Kobe Bryant,"$27,849,149",2013,LAL
Dwight Howard,"$19,536,360",2013,LAL
Pau Gasol,"$19,000,000",2013,LAL
Steve Nash,"$8,900,000",2013,LAL
Metta World Peace,"$7,258,960",2013,LAL
Steve Blake,"$4,000,000",2013,LAL
Jordan Hill,"$3,632,527",2013,LAL
Chris Duhon,"$3,500,000",2013,LAL
Jodie Meeks,"$1,500,000",2013,LAL
Antawn Jamison,"$1,352,181",2013,LAL
Earl Clark,"$1,240,000",2013,LAL
Devin Ebanks,"$1,054,389",2013,LAL
Darius Morris,"$962,195",2013,LAL
Robert Sacre,"$473,604",2013,LAL
Darius Johnson-Odom,"$192,228",2013,LAL
