name,salary,year,team
Jermaine O'Neal,"$14,796,000",2005,IND
Austin Croshere,"$8,260,000",2005,IND
Jonathan Bender,"$6,525,000",2005,IND
Metta World Peace,"$6,157,895",2005,IND
Scot Pollard,"$5,792,250",2005,IND
Reggie Miller,"$5,500,000",2005,IND
Stephen Jackson,"$5,100,000",2005,IND
Jeff Foster,"$4,500,000",2005,IND
Anthony Johnson,"$2,200,000",2005,IND
Fred Jones,"$1,572,480",2005,IND
Jamaal Tinsley,"$1,554,326",2005,IND
Michael Curry,"$845,122",2005,IND
David Harrison,"$835,560",2005,IND
Eddie Gill,"$720,046",2005,IND
James Jones,"$620,046",2005,IND
Marcus Haislip,"$576,380",2005,IND
John Edwards,"$385,277",2005,IND
Tremaine Fowlkes,"$79,029",2005,IND
Britton Johnsen,"$45,369",2005,IND
