name,salary,year,team
Ray Allen,"$14,625,000",2005,OKC
Rashard Lewis,"$7,792,208",2005,OKC
Vitaly Potapenko,"$6,191,250",2005,OKC
Danny Fortson,"$5,818,136",2005,OKC
Jerome James,"$5,455,200",2005,OKC
Vladimir Radmanovic,"$2,300,984",2005,OKC
Antonio Daniels,"$2,200,000",2005,OKC
Nick Collison,"$1,969,680",2005,OKC
Robert Swift,"$1,641,360",2005,OKC
Ibo Kutluay,"$1,600,000",2005,OKC
Luke Ridnour,"$1,531,200",2005,OKC
Reggie Evans,"$880,000",2005,OKC
Mateen Cleaves,"$735,960",2005,OKC
Ronald Murray,"$695,046",2005,OKC
Damien Wilkins,"$385,277",2005,OKC
