name,salary,year,team
Anfernee Hardaway,"$13,500,000",2004,PHO
Stephon Marbury,"$13,500,000",2004,PHO
Tom Gugliotta,"$11,670,000",2004,PHO
Shawn Marion,"$10,960,000",2004,PHO
Jahidi White,"$5,676,091",2004,PHO
Amar'e Stoudemire,"$1,899,720",2004,PHO
Joe Johnson,"$1,850,160",2004,PHO
Cezary Trybanski,"$1,600,000",2004,PHO
Jake Voskuhl,"$1,500,000",2004,PHO
Zarko Cabarkapa,"$1,221,240",2004,PHO
Scott Williams,"$1,070,000",2004,PHO
Casey Jacobsen,"$1,011,600",2004,PHO
Leandro Barbosa,"$809,280",2004,PHO
Donnell Harvey,"$663,679",2004,PHO
