name,salary,year,team
Antoine Walker,"$10,130,000",2001,BOS
Kenny Anderson,"$7,520,000",2001,BOS
Bryant Stith,"$5,920,000",2001,BOS
Vitaly Potapenko,"$4,290,000",2001,BOS
Eric Williams,"$3,890,000",2001,BOS
Greg Minor,"$3,240,000",2001,BOS
Tony Battie,"$3,200,000",2001,BOS
Walter McCarty,"$2,670,000",2001,BOS
Randy Brown,"$2,250,000",2001,BOS
Hot Rod Williams,"$2,100,000",2001,BOS
Paul Pierce,"$1,608,840",2001,BOS
Jerome Moiso,"$1,461,960",2001,BOS
Chris Carr,"$1,200,000",2001,BOS
Doug Overton,"$548,500",2001,BOS
Adrian Griffin,"$498,500",2001,BOS
Mark Blount,"$316,969",2001,BOS
Chris Herren,"$316,969",2001,BOS
Milt Palacio,"$316,969",2001,BOS
