name,salary,year,team
Shaquille O'Neal,"$20,000,000",2006,MIA
Jason Williams,"$7,562,500",2006,MIA
Antoine Walker,"$6,880,000",2006,MIA
James Posey,"$5,900,400",2006,MIA
Udonis Haslem,"$5,000,000",2006,MIA
Dwyane Wade,"$3,031,920",2006,MIA
Michael Doleac,"$2,640,000",2006,MIA
Wesley Person,"$1,760,000",2006,MIA
Dorell Wright,"$1,238,640",2006,MIA
Gary Payton,"$1,138,500",2006,MIA
Alonzo Mourning,"$1,138,500",2006,MIA
Jason Kapono,"$1,100,000",2006,MIA
Shandon Anderson,"$1,035,000",2006,MIA
Wayne Simien,"$867,720",2006,MIA
Andre Emmett,"$641,748",2006,MIA
Earl Barron,"$398,762",2006,MIA
Gerald Fitch,"$359,858",2006,MIA
Matt Walsh,"$38,904",2006,MIA
