name,salary,year,team
LaMarcus Aldridge,"$14,128,000",2014,POR
Nicolas Batum,"$11,295,250",2014,POR
Wesley Matthews,"$6,875,480",2014,POR
Robin Lopez,"$5,904,261",2014,POR
Thomas Robinson,"$3,526,440",2014,POR
Damian Lillard,"$3,202,920",2014,POR
Dorell Wright,"$3,000,000",2014,POR
Joel Freeland,"$2,897,976",2014,POR
Mo Williams,"$2,652,000",2014,POR
C.J. McCollum,"$2,316,720",2014,POR
Meyers Leonard,"$2,222,160",2014,POR
Earl Watson,"$1,399,507",2014,POR
Victor Claver,"$1,330,000",2014,POR
Will Barton,"$788,872",2014,POR
